nom_naissance,nom_dit,nom_search
SIMS Charles,,SIMS CHARLES
SIMS Edouard,,SIMS EDOUARD
SIMSON & Cie,,SIMSON ET CIE
SIMSON & CO SUHL,,SIMSON ET CO SUHL
SINAN,,SINAN
SINARD,,SINARD
SINART P,,SINART P
SINCERE Jules,,SINCERE JULES
SINDING Stephen,,SINDING STEPHEN
SINDOU Christian,,SINDOU CHRISTIAN
SINE,,SINE
SINET André,,SINET ANDRE
SINET Louis René Hippolyte,,SINET LOUIS RENE HIPPOLYTE
SINET Maurice,,SINET MAURICE
SINGEN,,SINGEN
SINGER,,SINGER
SINGER Roland,,SINGER ROLAND
Singh Gurbax,,SINGH GURBAX
SINGIER Gustave,,SINGIER GUSTAVE
SINGLETON Henry,,SINGLETON HENRY
SINGRY Jean-Baptiste,,SINGRY JEAN BAPTISTE
SINIBALDI Jean-Paul,,SINIBALDI JEAN PAUL
SINIBALDI Raffaele,,SINIBALDI RAFFAELE
SINKO Armand,,SINKO ARMAND
SINNER Paul,,SINNER PAUL
SINNET F.,,SINNET F
SINNETT F,,SINNETT F
SINSSON Jacques Nicolas,,SINSSON JACQUES NICOLAS
SINTRAM,,SINTRAM
SINTZ Augustin Edmé François,,SINTZ AUGUSTIN EDME FRANCOIS
SINVIM,,SINVIM
SIOLI,,SIOLI
SION,,SION
SIONEST Charles,,SIONEST CHARLES
SIOT,,SIOT
SIOT-DECAUVILLE,,SIOT DECAUVILLE
Sioux,,SIOUX
SIPEK Borek,,SIPEK BOREK
SIRANI Elisabetta,,SIRANI ELISABETTA
SIRANI Giovanni Andrea,,SIRANI GIOVANNI ANDREA
SIRE ET GIRARDOT,,SIRE ET GIRARDOT
SIRINE-REAL Ernestine,,SIRINE REAL ERNESTINE
SIRODOT-CARRE,,SIRODOT CARRE
SIRODOT H,,SIRODOT H
SIRON A,,SIRON A
SIROT Emma,,SIROT EMMA
SIROT Patrick,,SIROT PATRICK
SIROU A,,SIROU A
Sirouy,,SIROUY
SIROUY Achille,,SIROUY ACHILLE
Sirven B., imprimeur éditeur à Toulouse,SIRVEN B
SIRVEN Bernard,,SIRVEN BERNARD
SISCO,,SISCO
SISCO Louis Hercule,,SISCO LOUIS HERCULE
SISLEY Alfred,,SISLEY ALFRED
SISMO DESIGNERS,,SISMO DESIGNERS
SITOLEUX Jacques,,SITOLEUX JACQUES
SITTOW Michel,,SITTOW MICHEL
SIVAULT Roger,,SIVAULT ROGER
SIVIGNON Marc,,SIVIGNON MARC
SIXDENIERS,,SIXDENIERS
SIXDENIERS Alexandre Vincent,,SIXDENIERS ALEXANDRE VINCENT
SIXE Chevalier,,SIXE CHEVALIER
SIZELER Henri,,SIZELER HENRI
SKAER Lucy,,SKAER LUCY
Skarsten,,SKARSTEN
SKATTON,,SKATTON
SKELTON,,SKELTON
SKELTON FILS,,SKELTON FILS
SKELTON Joseph, SKELTON Fils,SKELTON JOSEPH
SKELTON Percival,,SKELTON PERCIVAL
Skinner Clark Alson,,SKINNER CLARK ALSON
SKIRA Pierre,,SKIRA PIERRE
SKLAR,,SKLAR
SKLAVOS Yerassimos,,SKLAVOS YERASSIMOS
SKODA Vladimir,,SKODA VLADIMIR
SKOGLUND Sandy,,SKOGLUND SANDY
Skorra Eduard Simon,,SKORRA EDUARD SIMON
Skotschofsky Johannes Georgius,,SKOTSCHOFSKY JOHANNES GEORGIUS
SKREDSVIG Christian,,SKREDSVIG CHRISTIAN
SKREDSWIG Christian Eriksen,,SKREDSWIG CHRISTIAN ERIKSEN
SKRETA Karel,,SKRETA KAREL
SKRYPITZINE Oleg,,SKRYPITZINE OLEG
Slacik Anne,,SLACIK ANNE
SLADE Conrad,,SLADE CONRAD
SLATER Joseph,,SLATER JOSEPH
SLEVOGT Max,,SLEVOGT MAX
SLEWINSKI Wladislav,,SLEWINSKI WLADISLAV
SLEWINSKI Wladislaw,,SLEWINSKI WLADISLAW
SLINGELANDT Pieter Cornelisz Van,,SLINGELANDT PIETER CORNELISZ VAN
SLOAN John,,SLOAN JOHN
SLODTZ Michel-Ange,SLODTZ Michel-Ange,SLODTZ MICHEL ANGE
SLODTZ Paul Ambroise,,SLODTZ PAUL AMBROISE
SLODTZ René Michel,,SLODTZ RENE MICHEL
SLODTZ Sébastien,,SLODTZ SEBASTIEN
SLUTER Claus,,SLUTER CLAUS
SMARGIASSI Gabriele,,SMARGIASSI GABRIELE
SMART John,,SMART JOHN
SMCI,,SMCI
SMEETON,,SMEETON
SMEETON Burn,,SMEETON BURN
SMEETON-TILLY,,SMEETON TILLY
SMET Frédéric de,,SMET FREDERIC DE
SMETANA Léopold,,SMETANA LEOPOLD
SMETS Jean-Baptiste,,SMETS JEAN BAPTISTE
SMIECHOWSKA Krystina,,SMIECHOWSKA KRYSTINA
SMILOWSKI Jean,,SMILOWSKI JEAN
SMIRKE Robert,,SMIRKE ROBERT
SMITH,,SMITH
SMITH Albert Alexander,,SMITH ALBERT ALEXANDER
SMITH Alfred,,SMITH ALFRED
SMITH Cecilia,,SMITH CECILIA
SMITH Constant,,SMITH CONSTANT
SMITH-CORONA,,SMITH CORONA
SMITH & WESSON,,SMITH ET WESSON
SMITH George,,SMITH GEORGE
SMITH-HALD Frithjof,,SMITH HALD FRITHJOF
SMITH Hélène,,SMITH HELENE
Smith I.,,SMITH I
SMITH Joan,,SMITH JOAN
SMITH John,,SMITH JOHN
SMITH John Raphael,,SMITH JOHN RAPHAEL
SMITH Kiki,,SMITH KIKI
SMITH laboratoire photographique,,SMITH LABORATOIRE PHOTOGRAPHIQUE
SMITH Leon Polk,,SMITH LEON POLK
Smith Patti,,SMITH PATTI
Smith Pennie,,SMITH PENNIE
SMITH Philippe,,SMITH PHILIPPE
SMITH'S DOCK C° LTD NORTH SHIELDS,,SMITH S DOCK C° LTD NORTH SHIELDS
SMITH Seton,,SMITH SETON
SMITH W,,SMITH W
SMITH W.R.,,SMITH W R
SMITH William,,SMITH WILLIAM
SMITS Eugène,,SMITS EUGENE
SMITS Jacob,,SMITS JACOB
SMITS Jakob,,SMITS JAKOB
SMITS Palmire,,SMITS PALMIRE
SMOBY,,SMOBY
Smorsone Giovanni,,SMORSONE GIOVANNI
SMOUT Lucas II,,SMOUT LUCAS II
SNAYERS Pieter,,SNAYERS PIETER
SNELLINCK Geeraert,,SNELLINCK GEERAERT
SNELLINCK Jan I,,SNELLINCK JAN I
SNELSON Kenneth,,SNELSON KENNETH
SNEYD William,,SNEYD WILLIAM
SNIJDERS Frans,,SNIJDERS FRANS
SNYDERS Frans,,SNYDERS FRANS
SNYERS Pieter,,SNYERS PIETER
SOBRE Hyacinthe Phileas,,SOBRE HYACINTHE PHILEAS
SOBRIER Joseph,,SOBRIER JOSEPH
SOBRINO Francisco,,SOBRINO FRANCISCO
SOCCARD Ch,,SOCCARD CH
Socchi Vincenzo,,SOCCHI VINCENZO
SOCIETE A GEORGES & CIE,,SOCIETE A GEORGES ET CIE
SOCIETE ALSACIENNE DE CONSTRUCTION MECANIQUE,,SOCIETE ALSACIENNE DE CONSTRUCTION MECANIQUE
SOCIETE ANONYME DES ATELIERS D'AVIATION LOUIS BREGUET,,SOCIETE ANONYME DES ATELIERS D AVIATION LOUIS BREGUET
SOCIETE ANONYME DES ETABLISSEMENTS ROURE-BERTRAND FILS ET JUSTIN DUPONT,,SOCIETE ANONYME DES ETABLISSEMENTS ROURE BERTRAND FILS ET JUSTIN DUPONT
SOCIÉTÉ ANONYME DES ETS LÉON HATOT,,SOCIETE ANONYME DES ETS LEON HATOT
SOCIETE ANONYME DES VERRERIES REUNIES DE VALLERYSTHAL & PORTIEUX,,SOCIETE ANONYME DES VERRERIES REUNIES DE VALLERYSTHAL ET PORTIEUX
Société anonyme du MAS de la VILLE,,SOCIETE ANONYME DU MAS DE LA VILLE
Société anonyme Foray-Storace,,SOCIETE ANONYME FORAY STORACE
SOCIETE ANONYME PLAGNY-SERMOISE,,SOCIETE ANONYME PLAGNY SERMOISE
SOCIETE ARTISTIQUE DE LA GRAVURE SUR BOIS,,SOCIETE ARTISTIQUE DE LA GRAVURE SUR BOIS
Société Carret & fils,,SOCIETE CARRET ET FILS
SOCIETE CONSTRUCTOR,,SOCIETE CONSTRUCTOR
SOCIETE D'APPLICATIONS GENERALES D'ELECTRICITE ET DE MECANIQUE,,SOCIETE D APPLICATIONS GENERALES D ELECTRICITE ET DE MECANIQUE
Société d'Arts Graphiques,,SOCIETE D ARTS GRAPHIQUES
SOCIETE D'EDITION DU PETIT PARISIEN,,SOCIETE D EDITION DU PETIT PARISIEN
SOCIETE D'INDUSTRIE DU VETEMENT DU CENTRE,,SOCIETE D INDUSTRIE DU VETEMENT DU CENTRE
SOCIETE D'OPTIQUE & DE PRECISION,,SOCIETE D OPTIQUE ET DE PRECISION
SOCIETE DE COMPAGNONNAGE,,SOCIETE DE COMPAGNONNAGE
SOCIETE DE L'HISTOIRE DU PROTESTANTISME FRANÇAIS,,SOCIETE DE L HISTOIRE DU PROTESTANTISME FRANCAIS
SOCIÉTÉ DE SECOURS MUTUELS DES OUVRIERS HORLOGERS DE BESANÃ‡ON,,SOCIETE DE SECOURS MUTUELS DES OUVRIERS HORLOGERS DE BESANA‡ON
SOCIETE DES ANCIENS ETABLISSEMENTS DUVERDREY & BLOQUEL,,SOCIETE DES ANCIENS ETABLISSEMENTS DUVERDREY ET BLOQUEL
SOCIETE DES AQUAFORTISTES FRANCAIS,,SOCIETE DES AQUAFORTISTES FRANCAIS
Société des archives photographiques d'art et d'histoire,,SOCIETE DES ARCHIVES PHOTOGRAPHIQUES D ART ET D HISTOIRE
SOCIETE DES ARTISTES FRANCAIS,,SOCIETE DES ARTISTES FRANCAIS
Société des bronzes de Paris,,SOCIETE DES BRONZES DE PARIS
SOCIETE DES EDITIONS MILITAIRES,,SOCIETE DES EDITIONS MILITAIRES
SOCIETE DES ETABLISSEMENTS SCHIFFERS,,SOCIETE DES ETABLISSEMENTS SCHIFFERS
SOCIETE DES FORGES ET ATELIERS DU CREUSOT,,SOCIETE DES FORGES ET ATELIERS DU CREUSOT
Société des métronomes de précision,,SOCIETE DES METRONOMES DE PRECISION
SOCIETE DES NATIONS,,SOCIETE DES NATIONS
SOCIETE DES PUBLICATIONS OFFENSTADT,,SOCIETE DES PUBLICATIONS OFFENSTADT
SOCIETE EDITRICE DE CARTES ILLUSTREES,,SOCIETE EDITRICE DE CARTES ILLUSTREES
SOCIÉTÉ FRANÃ‡AISE D'ÉDITION D'ART,,SOCIETE FRANA‡AISE D EDITION D ART
SOCIETE FRANÃ‡AISE DES PAPIERS PEINTS,,SOCIETE FRANA‡AISE DES PAPIERS PEINTS
SOCIETE FRANCAISE DE FABRICATION DE BEBES ET JOUETS,,SOCIETE FRANCAISE DE FABRICATION DE BEBES ET JOUETS
Société Française de la Médaille,,SOCIETE FRANCAISE DE LA MEDAILLE
SOCIETE FRANCAISE DE MATERIEL AGRICOLE & INDUSTRIEL DE VIERZON,,SOCIETE FRANCAISE DE MATERIEL AGRICOLE ET INDUSTRIEL DE VIERZON
SOCIETE FRANCAISE DE SECOURS AUX BLESSES MILITAIRES,,SOCIETE FRANCAISE DE SECOURS AUX BLESSES MILITAIRES
SOCIETE FRANCAISE DES AMIS DES ARTS,,SOCIETE FRANCAISE DES AMIS DES ARTS
SOCIETE FRANCAISE DES PAPIERS PEINTS,,SOCIETE FRANCAISE DES PAPIERS PEINTS
SOCIETE FRANCAISE DES PETROLES BP,,SOCIETE FRANCAISE DES PETROLES BP
SOCIETE FRANCAISE RADIOELECTRIQUE,,SOCIETE FRANCAISE RADIOELECTRIQUE
SOCIETE GENERALE,,SOCIETE GENERALE
SOCIETE GENERALE D'IMPRESSION,,SOCIETE GENERALE D IMPRESSION
SOCIETE GENERALE DE LIBRAIRIE,,SOCIETE GENERALE DE LIBRAIRIE
SOCIETE GENERALE DE PROTECTION INCENDIE,,SOCIETE GENERALE DE PROTECTION INCENDIE
SOCIÉTÉ GÉNÉRALE DES MONTEURS DE BOITES D'OR, USINE À VAPEUR,SOCIETE GENERALE DES MONTEURS DE BOITES D OR
SOCIETE GENERALE DES MONTEURS DE BOITES OR,,SOCIETE GENERALE DES MONTEURS DE BOITES OR
SOCIETE GENERALE DES OUVRIERS FERBLANTIERS REUNIS,,SOCIETE GENERALE DES OUVRIERS FERBLANTIERS REUNIS
SOCIETE GODCHAUX,,SOCIETE GODCHAUX
SOCIETE HISTORIQUE & ARCHEOLOGIQUE DE CHATEAU-THIERRY,,SOCIETE HISTORIQUE ET ARCHEOLOGIQUE DE CHATEAU THIERRY
SOCIETE INDUSTRIELLE D'IMPRIMERIE,,SOCIETE INDUSTRIELLE D IMPRIMERIE
SOCIETE INDUSTRIELLE DE CELLULOID,,SOCIETE INDUSTRIELLE DE CELLULOID
SOCIETE JAEGER-LEVALLOIS,,SOCIETE JAEGER LEVALLOIS
Société Jumeau et cie,,SOCIETE JUMEAU ET CIE
SOCIETE LEGALLAIS,,SOCIETE LEGALLAIS
SOCIETE LIBRE D'EDITIONS DES GENS DE LETTRES,,SOCIETE LIBRE D EDITIONS DES GENS DE LETTRES
SOCIETE LINEENNE DE NORMANDIE,,SOCIETE LINEENNE DE NORMANDIE
SOCIETE LUMIERE,,SOCIETE LUMIERE
SOCIETE LYONNAISE DE CHROMOPHOTOGRAVURE,,SOCIETE LYONNAISE DE CHROMOPHOTOGRAVURE
SOCIETE MERIDIONALE D'INDUSTRIE,,SOCIETE MERIDIONALE D INDUSTRIE
SOCIETE MONDIALE,,SOCIETE MONDIALE
SOCIETE NAVY HAT,,SOCIETE NAVY HAT
SOCIETE NOBEL FRANCAISE,,SOCIETE NOBEL FRANCAISE
SOCIETE NOBEL FRANCE,,SOCIETE NOBEL FRANCE
SOCIETE NOUVELLE D'IMPRESSIONS EN COULEURS,,SOCIETE NOUVELLE D IMPRESSIONS EN COULEURS
SOCIÉTÉ ORANGINA,,SOCIETE ORANGINA
SOCIETE PARISIENNE DE PHOTOTYPIE,,SOCIETE PARISIENNE DE PHOTOTYPIE
SOCIETE PHILATELIQUE DE VILLENEUVE-LES-AVIGNON,,SOCIETE PHILATELIQUE DE VILLENEUVE LES AVIGNON
SOCIÉTÉ RICARD,,SOCIETE RICARD
Société Typographique des Trois amis,,SOCIETE TYPOGRAPHIQUE DES TROIS AMIS
SOCIETES D'ASSISTANCE AUX BLESSES ET MALADES DES ARMEES DE TERRE ET DE MER,,SOCIETES D ASSISTANCE AUX BLESSES ET MALADES DES ARMEES DE TERRE ET DE MER
SOCLET Arthur Louis,,SOCLET ARTHUR LOUIS
Socquet Jacques,,SOCQUET JACQUES
Socquet Louis,,SOCQUET LOUIS
SODAMOS,,SODAMOS
SODERMARK Johan Olaf,,SODERMARK JOHAN OLAF
SODOMA IL,SODOMA IL,SODOMA IL
SODRING Frederik,,SODRING FREDERIK
SOE Georges,,SOE GEORGES
SOEHENE Charles F,,SOEHENE CHARLES F
SOEST Louis Van,,SOEST LOUIS VAN
SOFAROLA,,SOFAROLA
SOFEICO / SINVIM,,SOFEICO SINVIM
SOFER,,SOFER
SOFRACIM,,SOFRACIM
SOGAL,,SOGAL
SOGEPROM,,SOGEPROM
SOGLIANI Giovannantonio di Francesco,,SOGLIANI GIOVANNANTONIO DI FRANCESCO
SOGLIANI Giovanni Antonio,,SOGLIANI GIOVANNI ANTONIO
Sohet Camille & Cie,,SOHET CAMILLE ET CIE
SOHET & TIXIER,,SOHET ET TIXIER
Sohn Jules,,SOHN JULES
SOICHOT Paule,,SOICHOT PAULE
SOIECOLOR,,SOIECOLOR
SOIRON Jean François,,SOIRON JEAN FRANCOIS
SOISSON Jacques,,SOISSON JACQUES
SOITOUX Jean-François,,SOITOUX JEAN FRANCOIS
SOJARO,SOJARO,SOJARO
SOKOLOV Alexandre Petrovitch,,SOKOLOV ALEXANDRE PETROVITCH
SOL,SOL,SOL
SOL Charles,,SOL CHARLES
SOLA T,,SOLA T
SOLANÃ“ Susana,,SOLANA“ SUSANA
SOLANO Susana,,SOLANO SUSANA
SOLARI Philippe,,SOLARI PHILIPPE
SOLARIO Andrea,SOLARIO Andrea,SOLARIO ANDREA
SOLBES Rafael,,SOLBES RAFAEL
SOLDANI Benzi,,SOLDANI BENZI
SOLDE Alexandre,,SOLDE ALEXANDRE
Soldi Emile,,SOLDI EMILE
SOLDINI Luigi Domenico,,SOLDINI LUIGI DOMENICO
SOLDYCK Arthur,SOLDYCK Arthur,SOLDYCK ARTHUR
SOLE Giovan Gioseffo dal,,SOLE GIOVAN GIOSEFFO DAL
SOLFAROLA IL,SOLFAROLA IL,SOLFAROLA IL
SOLIANI,,SOLIANI
SOLIGNAC Alexandre,,SOLIGNAC ALEXANDRE
SOLIGNON Louis,,SOLIGNON LOUIS
SOLIMENA Francesco,,SOLIMENA FRANCESCO
SOLIS Virgil,,SOLIS VIRGIL
SOLIS Virgilius,,SOLIS VIRGILIUS
SOLLEONE,,SOLLEONE
Sollier,,SOLLIER
SOLLIER A,,SOLLIER A
SOLLIEZ André,,SOLLIEZ ANDRE
SOLOMBRE Jean,SOLOMBRE Jean,SOLOMBRE JEAN
SOLOME Cadet,,SOLOME CADET
SOLOME Jean-Baptiste,,SOLOME JEAN BAPTISTE
SOLOMKO Sergei,,SOLOMKO SERGEI
SOLOMON Iser,,SOLOMON ISER
SOLOMON Simeon,,SOLOMON SIMEON
Solon Albert,,SOLON ALBERT
SOLON Marc Louis Emmanuel,,SOLON MARC LOUIS EMMANUEL
SOLON Marie,,SOLON MARIE
SOLON Mlle,,SOLON MLLE
SOLOTAREFF Ol,,SOLOTAREFF OL
SOLUIGNOY A,,SOLUIGNOY A
SOLVAIN Jean I,,SOLVAIN JEAN I
SOLVAIN Père,,SOLVAIN PERE
SOLVEEN Henri,,SOLVEEN HENRI
SOMBORN,,SOMBORN
SOMECA,,SOMECA
SOMER Hendrick van,,SOMER HENDRICK VAN
SOMER Jean,,SOMER JEAN
SOMER Jean Pruthenus,,SOMER JEAN PRUTHENUS
SOMER Paul II Van,,SOMER PAUL II VAN
SOMER Paul van,,SOMER PAUL VAN
SOMM Henri,,SOMM HENRI
SOMM Henry,,SOMM HENRY
SOMMAVILLE Antoine de,,SOMMAVILLE ANTOINE DE
SOMMAVILLE Antoine III de,,SOMMAVILLE ANTOINE III DE
SOMME Pierre Nicolas,,SOMME PIERRE NICOLAS
SOMMER,,SOMMER
SOMMER Giorgio,,SOMMER GIORGIO
SOMMER Jean Pruthenus,,SOMMER JEAN PRUTHENUS
SOMPEL Pieter von,,SOMPEL PIETER VON
SON Jan Van,,SON JAN VAN
SON Johannes,,SON JOHANNES
SON Joris Van,,SON JORIS VAN
SON Nicolas de,,SON NICOLAS DE
SONDERBORG K R H,SONDERBORG K R H,SONDERBORG K R H
SONG HUIZONG JIANZHONG JINGGUO,,SONG HUIZONG JIANZHONG JINGGUO
SONG RENZONG TIAN SHENG,,SONG RENZONG TIAN SHENG
SONG SHENZONG XI NING,,SONG SHENZONG XI NING
SONG SHENZONG YUAN FENG,,SONG SHENZONG YUAN FENG
SONG ZHEZONG YUAN YOU,,SONG ZHEZONG YUAN YOU
SONJE Jan Gabrielsz,,SONJE JAN GABRIELSZ
SONNE Carl,,SONNE CARL
SONNENFELD Lenke,,SONNENFELD LENKE
SONNEVILLE Georges de,,SONNEVILLE GEORGES DE
SONNIUS Claude,,SONNIUS CLAUDE
SONNIUS Laurent,,SONNIUS LAURENT
SONNIUS Michel,,SONNIUS MICHEL
SONNOD J,,SONNOD J
Sonor,,SONOR
SONREL Elisabeth,,SONREL ELISABETH
SONS Jan,,SONS JAN
SONTGEN Jean Joseph,,SONTGEN JEAN JOSEPH
Sony,,SONY
SOOLMAKER Jan Frans,,SOOLMAKER JAN FRANS
Soprani Paolo,,SOPRANI PAOLO
Soprani Settimio,,SOPRANI SETTIMIO
SORBE Didier,,SORBE DIDIER
SORBY I & H,,SORBY I ET H
SORCEL A.,,SORCEL A
SOREAU Isaac,,SOREAU ISAAC
SOREAU Isaak,,SOREAU ISAAK
Sorel J.,,SOREL J
SORELLO Michele,,SORELLO MICHELE
SORELLO Miguel de,,SORELLO MIGUEL DE
SOREST Jacques,,SOREST JACQUES
SORET,,SORET
Soret A.,,SORET A
SORG Anton,,SORG ANTON
SORG Christian,,SORG CHRISTIAN
SORG Jean-Jacques,,SORG JEAN JACQUES
SORGATO,,SORGATO
SORGATO Antonio,,SORGATO ANTONIO
SORGH Hendrick,,SORGH HENDRICK
SORGH Hendrick Maertensz,,SORGH HENDRICK MAERTENSZ
SORGUE,SORGUE,SORGUE
SORGUE J M,SORGUE J M,SORGUE J M
SORIEUL Jean,,SORIEUL JEAN
SORIN Pierrick,,SORIN PIERRICK
SORLOT J,,SORLOT J
SORNIQUE D,,SORNIQUE D
SORNIQUE Dominique,,SORNIQUE DOMINIQUE
SOROLLA Y BASTIDA Joaquin,,SOROLLA Y BASTIDA JOAQUIN
SORRI Pietro,,SORRI PIETRO
SORRIEU Frédéric,,SORRIEU FREDERIC
SOS MEDITERRANEE,,SOS MEDITERRANEE
SOSHANA,,SOSHANA
SOSNO Sacha,SOSNO Sacha,SOSNO SACHA
SOSNOWSKI Alexandre,,SOSNOWSKI ALEXANDRE
SOSOLIC Dominique,,SOSOLIC DOMINIQUE
SOSSON Marcel,,SOSSON MARCEL
SOTAIN Noël Eugène,,SOTAIN NOEL EUGENE
SOTEN,,SOTEN
SOTEN Kitagawa,,SOTEN KITAGAWA
SOTEN Soeshi,,SOTEN SOESHI
SOTERO Cosme,,SOTERO COSME
SOTETSU,,SOTETSU
SOTIATES,,SOTIATES
SOTIN,,SOTIN
SOTO Jesus Rafael,,SOTO JESUS RAFAEL
SOTOMAYOR Y ZARAGOZA Fernando Alvarez de,,SOTOMAYOR Y ZARAGOZA FERNANDO ALVAREZ DE
SOTTA Joachim,,SOTTA JOACHIM
SOTTSASS Ettore,,SOTTSASS ETTORE
SOUAN Charles,,SOUAN CHARLES
SOUBEILLE Léo,,SOUBEILLE LEO
SOUBEYRAN Pierre,,SOUBEYRAN PIERRE
SOUBIELLE,,SOUBIELLE
Soubitez,,SOUBITEZ
SOUCHAUD Pierre,,SOUCHAUD PIERRE
SOUCHER F,,SOUCHER F
SOUCHERE,,SOUCHERE
SOUCHON,,SOUCHON
SOUCHON François,,SOUCHON FRANCOIS
SOUCI Antoine,,SOUCI ANTOINE
SOUDAN Maurice,,SOUDAN MAURICE
SOUDANT,,SOUDANT
SOUDBININE Séraphin,,SOUDBININE SERAPHIN
SOUDEIKINE Sergei,,SOUDEIKINE SERGEI
SOUDIEUX Emile,,SOUDIEUX EMILE
SOUEL,,SOUEL
SOUET,,SOUET
SOUFFLOT Henri,,SOUFFLOT HENRI
SOUFFLOT Jacques-Germain,,SOUFFLOT JACQUES GERMAIN
SOUGEZ Emmanuel,,SOUGEZ EMMANUEL
SOUILLARD Edouard,,SOUILLARD EDOUARD
SOUILLARD Félix Martial Henri,,SOUILLARD FELIX MARTIAL HENRI
SOUILLARD Georges Adolphe Père,,SOUILLARD GEORGES ADOLPHE PERE
SOUILLARD Georges Marcel,,SOUILLARD GEORGES MARCEL
SOUILLARD Marcel,,SOUILLARD MARCEL
SOULAGES Pierre,,SOULAGES PIERRE
SOULANGE-TEISSIER Louis,,SOULANGE TEISSIER LOUIS
SOULARY Claude,,SOULARY CLAUDE
SOULAS GILLOT,,SOULAS GILLOT
SOULAS Louis Joseph,,SOULAS LOUIS JOSEPH
SOULE Paule,,SOULE PAULE
SOULES Eugène Edouard,,SOULES EUGENE EDOUARD
SOULES Félix,,SOULES FELIX
SOULIE Léon,,SOULIE LEON
SOULIÉ Tony,,SOULIE TONY
SOUMILLE,,SOUMILLE
SOUMY Joseph Paul Marius,,SOUMY JOSEPH PAUL MARIUS
SOUMY M Mme,,SOUMY M MME
SOUPLET Louis Ulysse,,SOUPLET LOUIS ULYSSE
SOURDEVAL Alfred de,,SOURDEVAL ALFRED DE
SOUROUX Jacques,,SOUROUX JACQUES
SOURY Gustave,,SOURY GUSTAVE
SOUSSAN Philippe,,SOUSSAN PHILIPPE
SOUSSAN Sylvain,,SOUSSAN SYLVAIN
SOUTEYRAND,,SOUTEYRAND
SOUTH John,,SOUTH JOHN
SOUTINE Chaïm,,SOUTINE CHAIM
SOUTMAN Pieter,,SOUTMAN PIETER
SOUTMAN Pieter Claesz,,SOUTMAN PIETER CLAESZ
SOUTTER Louis,,SOUTTER LOUIS
SOUVAY,,SOUVAY
SOUVERBIE Jean,,SOUVERBIE JEAN
SOUZA-PINTO Jose,,SOUZA PINTO JOSE
SOUZAY Gérard,,SOUZAY GERARD
SOVEN,,SOVEN
SOW Ousmane,,SOW OUSMANE
SOXHLET ALPHA,,SOXHLET ALPHA
SOYE E,,SOYE E
SOYER Jean-Baptiste,,SOYER JEAN BAPTISTE
SOYER Louis Claude Ferdinand,,SOYER LOUIS CLAUDE FERDINAND
SOYER Mathilde,,SOYER MATHILDE
SOYER Paul Constant,,SOYER PAUL CONSTANT
SOZZI Olivio,,SOZZI OLIVIO
SPADA Leonello,,SPADA LEONELLO
SPADA Lionello,,SPADA LIONELLO
SPADA Valerio,,SPADA VALERIO
SPADARI Giangiacomo,,SPADARI GIANGIACOMO
SPADARINO,SPADARINO,SPADARINO
SPADARO Micco,SPADARO Micco,SPADARO MICCO
SPADARO Mico,SPADARO Mico,SPADARO MICO
SPADAVECCHIA Liliana Beatrix,,SPADAVECCHIA LILIANA BEATRIX
SPADINO Bartolomeo Castelli,,SPADINO BARTOLOMEO CASTELLI
SPADINO Giovan Paolo,,SPADINO GIOVAN PAOLO
SPADINO Giovanni Paolo,,SPADINO GIOVANNI PAOLO
SPAENDONCK Cornélis Van,,SPAENDONCK CORNELIS VAN
SPAENDONCK Gerard Van,,SPAENDONCK GERARD VAN
SPAGGIARI Giovanni,,SPAGGIARI GIOVANNI
SPAGNA LO,SPAGNA LO,SPAGNA LO
SPAGNUOLO LO,SPAGNUOLO LO,SPAGNUOLO LO
SPAL Jules,,SPAL JULES
SPALDING,,SPALDING
SPALLA Giacomo,,SPALLA GIACOMO
SPALLETTI Ettore,,SPALLETTI ETTORE
SPARRE Louis,,SPARRE LOUIS
SPAZEMANT Nicolas,,SPAZEMANT NICOLAS
SPEAR J W,,SPEAR J W
SPECCHI Alessandro,,SPECCHI ALESSANDRO
SPECIALE PERRAIN,,SPECIALE PERRAIN
SPECKAERT Hans,,SPECKAERT HANS
SPECKLIN Daniel,,SPECKLIN DANIEL
SPECKLIN Veit Rudolph,,SPECKLIN VEIT RUDOLPH
SPECKTER Otto,,SPECKTER OTTO
SPECULATOR,,SPECULATOR
SPEECKAERT Hans,,SPEECKAERT HANS
SPEECKAERT Michel Joseph,,SPEECKAERT MICHEL JOSEPH
SPEEDO,,SPEEDO
SPEINEBIZI,,SPEINEBIZI
SPENCER,,SPENCER
SPENCER Christopher Miner,,SPENCER CHRISTOPHER MINER
SPENCER & PERKINS,,SPENCER ET PERKINS
SPENCER Gervase,,SPENCER GERVASE
SPENGLER Nikolaus Michael,,SPENGLER NIKOLAUS MICHAEL
SPENLOVE-SPENLOVE Frank,,SPENLOVE SPENLOVE FRANK
SPERANZA Giovanni,,SPERANZA GIOVANNI
SPERLI Johann Jacob,,SPERLI JOHANN JACOB
SPERLI Le Vieux,SPERLI Le Vieux,SPERLI LE VIEUX
Sperling H,,SPERLING H
SPERLING Marie,SPERLING Marie,SPERLING MARIE
SPETEBROOT Henri,,SPETEBROOT HENRI
SPEYER Christian,,SPEYER CHRISTIAN
SPICER Henry,,SPICER HENRY
SPICER-SIMSON,,SPICER SIMSON
SPICRE Guillaume,,SPICRE GUILLAUME
SPICRE Pierre,,SPICRE PIERRE
